ID,Category,Question,Problem Link,Companies,Difficulty,Status
72,Searching & Sorting,Product of Array except itself,https://www.geeksforgeeks.org/a-product-array-puzzle/, Accolite Amazon D-E-Shaw Intuit Morgan Stanley Opera Microsoft Flipkart,,
73,Searching & Sorting,Make all Array Elements Equal,https://www.geeksforgeeks.org/make-array-elements-equal-minimum-cost/,Amazon,,
74,Searching & Sorting,Check if Reversing a Sub Array Make the Array Sorted,https://www.geeksforgeeks.org/check-reversing-sub-array-make-array-sorted/, Amazon,,
75,Searching & Sorting,Find Four Elements that Sum to a Given Value,https://www.geeksforgeeks.org/find-four-elements-that-sum-to-a-given-value-set-2/, Adobe Amazon Google Microsoft OYO Rooms,,
76,Searching & Sorting,Median of Two Sorted Array with Different Size,https://www.geeksforgeeks.org/median-of-two-sorted-arrays-of-different-sizes/, Amazon Samsung Microsoft Google,,
77,Searching & Sorting,Median of Stream of Integers Running Integers,https://www.geeksforgeeks.org/median-of-stream-of-integers-running-integers/,Amazon + Google,,
78,Searching & Sorting,Print Subarrays with 0 Sum,https://www.geeksforgeeks.org/print-all-subarrays-with-0-sum/, Paytm Adobe,,
79,Searching & Sorting,Aggressive Cows,https://www.spoj.com/problems/AGGRCOW/,Adobe,,
80,Searching & Sorting,Allocate Minimum number of Pages,https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1, Google Infosys Codenation Amazon Microsoft,,
81,Searching & Sorting,Minimum Swaps to Sort,https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/,Amazon + Google,,
82,Backtracking,Backtracking Set 2 Rat in a Maze,https://www.geeksforgeeks.org/backttracking-set-2-rat-in-a-maze/,Microsoft Amazon ,,
83,Backtracking,Combinational Sum,https://www.geeksforgeeks.org/combinational-sum/,Adobe Amazon Microsoft,,
84,Backtracking,Crossword-Puzzle,https://www.hackerrank.com/challenges/crossword-puzzle/problem,Microsoft,,
85,Backtracking,Longest Possible Route in a Matrix with Hurdles,https://www.geeksforgeeks.org/longest-possible-route-in-a-matrix-with-hurdles/,Microsoft,,
86,Backtracking,Printing all solutions in N-Queen Problem,https://www.geeksforgeeks.org/printing-solutions-n-queen-problem/,Accolite Amazon Amdocs D-E-Shaw MAQ Software Twitter Visa Microsoft,,
87,Backtracking,Solve the Sudoku,https://practice.geeksforgeeks.org/problems/solve-the-sudoku-1587115621/1,Amazon Directi Flipkart MakeMyTrip MAQ Software Microsoft Ola Cabs Oracle PayPal Zoho,,
88,Backtracking,Partition Equal Subset Sum,https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1,Amazon + Adobe + Accolite + Traveloka,,
89,Backtracking,M Coloring Problem,https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1,Amazon,,
90,Backtracking,Knight Tour,https://www.geeksforgeeks.org/backtracking-set-1-the-knights-tour-problem/,IBM,,
91,Backtracking,Soduko,https://www.geeksforgeeks.org/backtracking-set-7-suduku/,Amazon + Adobe + Accolite + Traveloka,,
92,Backtracking,Remove Invalid Parentheses,https://www.geeksforgeeks.org/remove-invalid-parentheses/,Uber,,
93,Backtracking,Word Break Problem using Backtracking,https://www.geeksforgeeks.org/word-break-problem-using-backtracking/,,,
94,Backtracking,Print all Palindromic Partitions of a String,https://www.geeksforgeeks.org/print-palindromic-partitions-string/,Facebook Amazon Microsoft,,
95,Backtracking,Find Shortest Safe Route in a Path with Landmines,https://www.geeksforgeeks.org/find-shortest-safe-route-in-a-path-with-landmines/,Facebook Amazon Microsoft,,
96,Backtracking,Partition of Set into K Subsets with Equal Sum,https://www.geeksforgeeks.org/partition-set-k-subsets-equal-sum/,Amazon,,
97,Backtracking,Backtracking set-7 hamiltonian cycle,https://www.geeksforgeeks.org/backtracking-set-7-hamiltonian-cycle/,Amazon,,
98,Backtracking,tug-of-war,https://www.geeksforgeeks.org/tug-of-war/,Google,,
99,Backtracking,Maximum Possible Number by doing at most K swaps,https://www.geeksforgeeks.org/find-maximum-number-possible-by-doing-at-most-k-swaps/,Amazon + Adobe + Accolite + Traveloka,,
100,Backtracking,Backtracking set-8 solving cryptarithmetic puzzles,https://www.geeksforgeeks.org/backtracking-set-8-solving-cryptarithmetic-puzzles/,Goldman Sachs,,
101,Backtracking,Find paths from corner cell to middle cell in maze,https://www.geeksforgeeks.org/find-paths-from-corner-cell-to-middle-cell-in-maze/,Meta,,
102,Backtracking,Arithmetic Expressions,https://www.hackerrank.com/challenges/arithmetic-expressions/problem,Flipkart,,
103,Linked List,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Sprinklr,,
104,Linked List,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/, Accolite Amazon D-E-Shaw Hike Lybrate Mahindra Comviva MakeMyTrip MAQ Software OYO Rooms Paytm Qualcomm Samsung SAP Labs Snapdeal Veritas VMWare Walmart Adobe,,
